"id","name","title","bio","bio_notes","birthdate","birthplace","deathdate","fulltext"
"1","Adelaide of Aquitaine, queen of the Franks","queen of the Franks","Adelaide was a member of the ruling family of Aquitaine, daughter of Guillaume III (Tête d’Étoupes), sister of Guillaume IV Fièrebrace.  She married Hugh Capet, duke and later king of the Franks, and was involved enough in his government that he proposed her to negotiate for him with empress Theophanu, committing himself beforehand to whatever they determined (see his letter to Theophanu, MGH BDKz 2 ep.120).","","","","1004","Adelaide of Aquitaine, queen of the Franks queen of the Franks Adelaide was a member of the ruling family of Aquitaine, daughter of Guillaume III (Tête d’Étoupes), sister of Guillaume IV Fièrebrace.  She married Hugh Capet, duke and later king of the Franks, and was involved enough in his government that he proposed her to negotiate for him with empress Theophanu, committing himself beforehand to whatever they determined (see his letter to Theophanu, MGH BDKz 2 ep.120).    1004"
"2","Beatrice, countess/duke of Upper Lorraine","countess/duke of Upper Lorraine","Beatrice was the sister of Hugh Capet and related through their mother Hedwig/Haduide to the first Ottonians and to the last Carolingians:  Hedwig was a sister of emperor Otto I and of Gerberga, mother of Lothar (king of France, 954-86).  Countess Beatrice was regent for her son Dietrich after the death of her husband, Frederick of upper Lorraine, and was an important player in a series of peace negotiations, particularly around the regency for emperor Otto III.(!1)  She was in correspondence with both Gerbert of Aurillac and Adalbero of Reims and a participant in high level diplomatic meetings.  Beatrice’s descendents include her great granddaughter, also Beatrice, a later ruler of Lorraine, and Beatrice’s daughter Matilda, countess of Tuscany.","(!1) Karl Leyser notes her de facto regency for her son and her political prominence, Communications and Power in Medieval Europe, The Carolingian and Ottonian Centuries, ed. Timothy Reuter (London:  Hambledon, 1994), 166, and fn5.  The Shorter Cambridge attributes a key role in the peace negotiations to Gerbert:  “the ablest ecclesiastic of the day, Gerbert of Aurillac . . . pulled every diplomatic wire,” 1.444, and does not mention Beatrice, but Gerbert himself implies that Beatrice was at least as important a player, see his letter to Beatrice below.  Ferdinand Lot notes the big role Beatrice played in the negotiations and in the conclusion of peace, at Worms in 984, at Frankfort in 985, and at Compiègne in 987, Les Derniers Carolingiens (Paris:  Bouillon, 1891), 141, 161, 195.","","","987","Beatrice, countess/duke of Upper Lorraine countess/duke of Upper Lorraine Beatrice was the sister of Hugh Capet and related through their mother Hedwig/Haduide to the first Ottonians and to the last Carolingians:  Hedwig was a sister of emperor Otto I and of Gerberga, mother of Lothar (king of France, 954-86).  Countess Beatrice was regent for her son Dietrich after the death of her husband, Frederick of upper Lorraine, and was an important player in a series of peace negotiations, particularly around the regency for emperor Otto III.(!1)  She was in correspondence with both Gerbert of Aurillac and Adalbero of Reims and a participant in high level diplomatic meetings.  Beatrice’s descendents include her great granddaughter, also Beatrice, a later ruler of Lorraine, and Beatrice’s daughter Matilda, countess of Tuscany. (!1) Karl Leyser notes her de facto regency for her son and her political prominence, Communications and Power in Medieval Europe, The Carolingian and Ottonian Centuries, ed. Timothy Reuter (London:  Hambledon, 1994), 166, and fn5.  The Shorter Cambridge attributes a key role in the peace negotiations to Gerbert:  “the ablest ecclesiastic of the day, Gerbert of Aurillac . . . pulled every diplomatic wire,” 1.444, and does not mention Beatrice, but Gerbert himself implies that Beatrice was at least as important a player, see his letter to Beatrice below.  Ferdinand Lot notes the big role Beatrice played in the negotiations and in the conclusion of peace, at Worms in 984, at Frankfort in 985, and at Compiègne in 987, Les Derniers Carolingiens (Paris:  Bouillon, 1891), 141, 161, 195.   987"
"115","Hildegard of Bingen","Magistra of St. Rupert's","Born the tenth child of a noble couple (Hildebert and Mechtild) from Bermersheim in the Rhineland,  Hildegard was destined for the religious life from chldhood.  She was enclosed with a religious noblewoman, Jutta of Sponheim, a recluse,  perhaps when she was eight, and she took vows in the monastery of St. Disibod with Jutta in 1112, when she was 14, along with other girls attached to Jutta.   Jutta presumably taught Hildegard to read the psalter.   Hildegard never had a formal Latin education, and relied on her various secretaries to edit her grammar, but she seems to have read widely through her life.  
Hildegard was best known in her time for her prophetic visions, which she seems to have had from early on, which she did not reveal except to Jutta and later to the monk who would be her secretary as well as her friend, Volmar, when God commanded her to write her visions.  With the help and support of Volmar and one of her nuns, Richardis of Stade, to whom Hildegard was deeply attached, and with the permission of the abbot of St. Disibod, Kuno, Hildegard began to commit her visions to writing in her forties.  She began with the Scivias, brilliantly illustrated under her direction.  Before she published it, however, it was approved by a papal commission named by pope Eugene III, at the instigation of her archbishop, Henry of Mainz, and with the apparent support of Bernard of Clairvaux whom she had met and to whom she had writtenfor advice.   As Hildegard’s reputation grew and the number of pilgrims to St. Disibod increased, Hildegard felt more constrained and in 1148 she had a vision that commanded her to move with her nuns (and their dowries) to a new location.    Despite abbot Kuno’s resistance  --Hildegard’s presence gave his monastery much pretige -- and wariness on the part of the nuns and their families, Hildegard, with the help of a serendipitous illness, had her way,  and established a new house at Rupertsberg.  
At Rupertsberg, Hildegard cared for the sick, studied their illnesses and wrote two  medical works,  one 
theoretical, known as the Causes and Cures, the other more practical, the  Physica,  which suggests  
remedies.   She also  composed religious poems and music, a play, the Ordo virtutum,  two other 
volumes of visions,  the Liber vitae meritorum (the Book of Life’s Merits) and the Liber diivinorum 
 operum, (the Book of Divine Works), and a life of St. Rupert.   She had a series of secretaries and 
helpers, beginning with the nun Richardis of Stade and the monk Volmar, then Ludwig abbot of St. Eucharius, her nephew Wescelin, Godfrey of Disibodenberg, Volmar’s successor as provost of Rupertsberg, her brother Hugo of Tholey, and finally Guibert of Gembloux.  Godfrey (with Theodoric of Echternach) and Guibert (in a long letter wrote lives of Hildegard.  The main function of the secretaries was to edit Hildegard’s Latin, since she had not been formally trained in the language, but she was adamant that they were not to change her words, since those came from God.  Indeed, at the end of the Book of Divine Works, she warns that no man should be so bold as to add to or delete anything without sinning against the Holy Spirit, which will not be forgiven here nor in the next world.  Only at the end of her life did she seem to grant Guibert a little more leeway in editing her life of St. Martin.

Hildegard also carried on an extensive correspondence with foreign dignitaries, religious and lay, and 
local people,  religious and lay.  The new edition of her letters numbers 390 (close to if not exactly the 
extant total).   It is based on collections made during her lifetime and apparently with her approval.  Her correspondents included popes, bishops and archbishops, abbots and abbesses, nuns and monks and priests, kings and queens, an emperor, noblewomen and noblemen, laywomen and 
 laymen.  People wrote asking not only her advice but her prophecies of the future, which were widely respected:  Frederick Barbarossa said that what she had predicted in his presence “we now have in hand,” ep.314;  John of Salisbury wrote a friend saying that pope Eugene III wanted to consult Hildegard’s prophecies because what she had so far predicted about his reign had been right (The Letters of John of Salisbury, ed. Millor, Butler, and Brooke), ep.185.

In her letters Hildegard plays many roles:  as the voice of God, the instrument by which God addressed and admonished mankind and the church, admonishing popes and bishops to fight injustice and corruption; as a mediator with the divine, carrying God’s  message to humankind and individuals’ prayers back to God; as a mediator among humans, particularly in the monastic world, between abbesses and their nuns or abbots and their monks, telling those who want to give up their responsibilities to carry the burden they took on, but at the same time urging their flocks to behave better; as a source of knowledge and wisdom, theological, prophetic,moral, and practical, both legal and medical; as a crusader for what she believed in (and/or believed God wanted), like her assertion of her right to bury a previously excommunicated but repentant nobleman in the monastery grounds; and as a woman who inspired both awe and affection in the women and men who knew and worked with her.  She deals sternly with those in power and sympathetically with those in distress.  She preaches mercy as well as justice, love rather than fear, compassion rather than anger, moderation rather than fanaticism, and always a strong sense of responsibility.  Her advice is often practical, though her style is usually rich with parables and striking imagery.  On occasion she used letters to powerful people to try to get her way, as in her unsuccessful attempt to keep Richardis with her, through letters to a pope (Eugene III), two archbishops and a marchioness, and her successful insistence on the right of her convent to a provost of their choice from Disibodenberg, who would also serve as her secretary, which she again took to the pope (Alexander III).1
She is perhaps the most important medieval woman correspondent in terms of the extent and range of her correspondence,  but since her letters have recently been published and translated, most of them are not included here.2  The translations can be found online through Oxford Scholarship Online. http://www.oxfordscholarship.com.ezproxy.cul.columbia.edu/oso/public/content/religion/9780195168372/toc.html

","1 For a study of the many facets of Hildegard, see Voice of the Living Light, Hildegard of Bingen and Her World, ed. Barbara Newman (University of California, 1998); in the biography, I have drawn on my own study of her correspondence in this collection.  Barbara Newman has also written a study of Hildegard’s theology of the feminine, Sister of Wisdom (University of California, 1987), and translated Hildegard’s poems, Symphonia, A Critical Edition of the Symphonia armonie celestium revelationum (Cornell, 1988).  
2Hildegardis Bingensis, Epistolarium, ed. Lieven Van Acker and Monika Klaes-Hachmoller, CCCM, 91, 91a, 91b (Turnhout:  Brepols, 1991, 1993, 2001). 
The Letters of Hildegard of Bingen, trans. Joseph L. Baird and Radd K. Ehrman (Oxford University, 1994, 1998, 2004).
 
","1098","","1179",""
"4","Emma, queen of the Franks","queen of the Franks","Emma was the daughter of Lothar, king of Italy, and of Adelaide, then queen of Italy, later empress.  Emma was also niece and cousin of kings of Burgundy, through her mother, half-sister and aunt of Ottonian emperors, wife and mother of kings of France.  She married Lothar, king of France from 954-86, accompanied him on campaign and defended Verdun while he was in Laon.(!1)  When he died, she was briefly regent for their son Louis V, but was accused of adultery with Adalbero (known as Ascelin), bishop of Laon, a charge which apparently her son believed or chose to believe.  She was ousted and imprisoned by her brother-in-law, Charles of Lower Lorraine.  The empress Theophanu asked Hugh Capet, by then king of France, to negotiate for her release, but he had no success.  Adalbero, archbishop of Reims, asked her mother Adelaide to intervene but she either did not or did and failed — Lothar’s attacks on Adelaide’s son may have set Adelaide against them both.  Emma was eventually freed and granted Dijon but she did not return to public life in the kingdom.","(!1) See Pauline Stafford, Queens, Concubines and Dowagers (London:  Batsford, 1983), 117.  For more about Emma’s life and political role, see also Ferdinand Lot, Les Derniers Carolingiens, Lothaire, Louis V, Charles de Lorraines, 954-991 (Paris:  Bouillon, 1891, repr. Paris:  Champion, 1975).  Lot notes that scarcely a document was executed under Lothar without Emma’s intervention, 54.

 
 ","","","after 988","Emma, queen of the Franks queen of the Franks Emma was the daughter of Lothar, king of Italy, and of Adelaide, then queen of Italy, later empress.  Emma was also niece and cousin of kings of Burgundy, through her mother, half-sister and aunt of Ottonian emperors, wife and mother of kings of France.  She married Lothar, king of France from 954-86, accompanied him on campaign and defended Verdun while he was in Laon.(!1)  When he died, she was briefly regent for their son Louis V, but was accused of adultery with Adalbero (known as Ascelin), bishop of Laon, a charge which apparently her son believed or chose to believe.  She was ousted and imprisoned by her brother-in-law, Charles of Lower Lorraine.  The empress Theophanu asked Hugh Capet, by then king of France, to negotiate for her release, but he had no success.  Adalbero, archbishop of Reims, asked her mother Adelaide to intervene but she either did not or did and failed — Lothar’s attacks on Adelaide’s son may have set Adelaide against them both.  Emma was eventually freed and granted Dijon but she did not return to public life in the kingdom. (!1) See Pauline Stafford, Queens, Concubines and Dowagers (London:  Batsford, 1983), 117.  For more about Emma’s life and political role, see also Ferdinand Lot, Les Derniers Carolingiens, Lothaire, Louis V, Charles de Lorraines, 954-991 (Paris:  Bouillon, 1891, repr. Paris:  Champion, 1975).  Lot notes that scarcely a document was executed under Lothar without Emma’s intervention, 54.

 
    after 988"
"91","Nun M., daughter of Richard","","The nun appears as the recipient of a letter from Anselm, archbishop of Canterbury.  Both the editor and the translator of Anselm's letters suggest that she may be the daughter of Lord Richard and Lady Rohais of Tonbridge and Clare, to whom Anselm addressed another letter (ep.94), in which he thanks them for donations to the abbey of Bec.","","","","",""
"100","Waldrada ","","Waldrada was a noble daughter of the Eticho clan.  She was the mistress of Lothar II, and bore him a son, Hugh, and daughters Gisela and Bertha.  Their union had preceded Lothar's marriage to Theutberga and he later claimed that it constituted a marriage.  They were formally married in 862, after Lothar had put Theutberg aside with the support of local bishops, but the marriage was voided by pope Nicholas I.  In 865 Lothar was compelled to take Theutberg back, but he never accepted the situation and died in 869 on his way back from Rome where he had gone to gain the support of the new pope Hadrian II in his attempts to marry Waldrada and legitimize their son.  Waldrada retired to Remiremont and was restored to communion by Hadrian II.

","","","","after 869","Waldrada   Waldrada was a noble born mistress of Lothar II, who bore him a son, Hugh, and daughters Gisela and Bertha.  Their union had preceded Lothar's marriage to Theutberga and he later claimed that it constituted a marriage.  They were formally married in 862, after Lothar had put Theutberg aside with the support of local bishops, but the marriage was voided by pope Nicholas I.  In 865 Lothar was compelled to take Theutberg back, but he never accepted the situation and died in 869 on his way back from Rome where he had gone to gain the support of the new pope Hadrian II in his attempts to marry Waldrada and legitimize their son.  Waldrada retired to Remiremont and was restored to communion by Hadrian II.

    after 869"
"104","Theodora Spana","","Theodora was the wife of a wealthy and highborn Spaniard, Lucinus.   They were both Christians who had vowed to live together as brother and sister and intended to travel to Bethlehem to see Jerome.  Lucinus had already sent his own copyists there to transcribe Jerome’s writings.  After he died, Jerome wrote a long letter of grief over his death, although he had never met him, and encouraged Theodora to remain true to her vow of chastity.

","","","","",""
"6","Gerberga, abbess of Gandersheim","","Gerberga, abbess of Gandersheim from the late 950's to 1001, patron of the poet and playwright, Hrotsvit, was the daughter of Henry, duke of Bavaria, and Judith, daughter of duke Arnulf of Bavaria.  Henry was a brother of Otto I, making Gerberga niece and first cousin of the emperors Otto I and Otto II.  Her father had been involved in various rebellions against Otto, and her brother, Henry the Wrangler continued to make trouble for his cousins.  But Gerberga apparently remained on good terms with them:  they petitioned the pope for her monastery, and she commissioned a history of Otto I from Hrotsvit.","","940","","1002","Gerberga, abbess of Gandersheim  Gerberga, abbess of Gandersheim from the late 950's to 1001, patron of the poet and playwright, Hrotsvit, was the daughter of Henry, duke of Bavaria, and Judith, daughter of duke Arnulf of Bavaria.  Henry was a brother of Otto I, making Gerberga niece and first cousin of the emperors Otto I and Otto II.  Her father had been involved in various rebellions against Otto, and her brother, Henry the Wrangler continued to make trouble for his cousins.  But Gerberga apparently remained on good terms with them:  they petitioned the pope for her monastery, and she commissioned a history of Otto I from Hrotsvit.  940  1002"
"7","Hrotsvit, nun of Gandersheim","nun of Gandersheim","Very little is known about Hrotsvit beyond her writings and the fact that she lived and wrote in the abbey of Gandersheim in the tenth century.  She must have been noble to be a nun in the imperial abbey of Gandersheim and she was certainly educated.  She composed saints lives, plays modeled on Terence, and two epics, the life of Otto I and the history of the monastery of Gandersheim.  The works are preceded by explanatory or exculpatory and dedicatory letters, which are given here in the order in which they appear in the collected works, presumably the order in which they were written.","","in 930's ?","","","Hrotsvit, nun of Gandersheim nun of Gandersheim Very little is known about Hrotsvit beyond her writings and the fact that she lived and wrote in the abbey of Gandersheim in the tenth century.  She must have been noble to be a nun in the imperial abbey of Gandersheim and she was certainly educated.  She composed saints lives, plays modeled on Terence, and two epics, the life of Otto I and the history of the monastery of Gandersheim.  The works are preceded by explanatory or exculpatory and dedicatory letters, which are given here in the order in which they appear in the collected works, presumably the order in which they were written.  in 930's ?  "
"8","Imiza, a lady of the Ottonian court","lady of the Ottonian court","Imiza was a lady at the Ottonian court, a trusted emissary, who is mentioned in a letter from Gerbert to pope John XIV, ep.14 (MGH BDKZ 2, p.36-37).  Gerbert tells the pope:  “Dominam Imizam, quia vos diligit, diligimus.  Per eam nobis vel nuntiis vel epistolis significabitis, quicquid nos facere voletis, simulque nos per eam vobis quicquid de statu et molimine regnorum cognoverimus vestra interesse.”  “We love lady Imiza, since she loves you.  You will let us know through her, either by messengers or by letters, whatever you wish us to do; at the same time we will make known to you what pertains to your interests about the state and undertakings of the kingdoms.”  F. Weigle, editor of the letters, mentions in a footnote to this letter the suggestion by Uhlirz that Imiza was a daughter of count Megingoz (+995) and Gerbirg/Irmintrud, hence a granddaughter of duke Godfrey the elder of Lower Lotharingia (+959).","","","","","Imiza, a lady of the Ottonian court lady of the Ottonian court Imiza was a lady at the Ottonian court, a trusted emissary, who is mentioned in a letter from Gerbert to pope John XIV, ep.14 (MGH BDKZ 2, p.36-37).  Gerbert tells the pope:  “Dominam Imizam, quia vos diligit, diligimus.  Per eam nobis vel nuntiis vel epistolis significabitis, quicquid nos facere voletis, simulque nos per eam vobis quicquid de statu et molimine regnorum cognoverimus vestra interesse.”  “We love lady Imiza, since she loves you.  You will let us know through her, either by messengers or by letters, whatever you wish us to do; at the same time we will make known to you what pertains to your interests about the state and undertakings of the kingdoms.”  F. Weigle, editor of the letters, mentions in a footnote to this letter the suggestion by Uhlirz that Imiza was a daughter of count Megingoz (+995) and Gerbirg/Irmintrud, hence a granddaughter of duke Godfrey the elder of Lower Lotharingia (+959).    "
